firstName,regionOrigin,countryOriginAlt,subRegionOrigin,countryOrigin,countriesOriginTop
aiden,Asia,IE,Central Asia,KZ,"KZ,IE,GB,KG,MY,AZ,TW,EE,BN,GE"
millie,Europe,IE,Western Europe,NL,"NL,IE,GB,KE,IL,ZA,LR,DK,NA,CZ"
carter,Europe,DK,Northern Europe,GB,"GB,DK,SE,NL,KE,LR,CH,IE,DE,BE"
eloise,Europe,CM,Western Europe,FR,"FR,CM,BE,CH,CF,BF,CI,TD,MG,GB"
eli,Asia,IL,Western Asia,GE,"GE,IL,AZ,EE,BG,MD,FI,ID,FJ,NA"
harriet,Europe,IE,Western Europe,NL,"NL,IE,GB,KE,LR,BE,IL,DE,AM,VN"
jayden,Europe,NL,Northern Europe,GB,"GB,NL,TW,NA,ZA,BG,KR,KE,IE,MY"
elena,Europe,MD,Eastern Europe,RU,"RU,MD,SK,GE,UA,BG,RO,UZ,CY,IL"
luka,Europe,SI,Southern Europe,HR,"HR,SI,GE,CZ,RS,RS,NA,SK,BG,LT"
piper,Europe,NL,Northern Europe,DK,"DK,NL,SE,EE,IL,TW,GE,GB,BE,AZ"
ali,Asia,GE,Western Asia,IQ,"IQ,GE,AZ,BH,LB,SY,SA,IR,MD,UZ"
lara,Asia,HR,Western Asia,GE,"GE,HR,IT,IL,MD,SE,CH,RU,AZ,CZ"
lincoln,Africa,KE,Western Africa,LR,"LR,KE,ZA,NA,GB,TW,SE,MY,KH,NL"
eliana,Asia,BG,Western Asia,GE,"GE,BG,IT,IL,MD,RO,RU,CY,TZ,MG"
theo,Europe,FR,Western Europe,NL,"NL,FR,ZA,BW,CH,DE,CM,BE,NA,CY"
addison,Africa,GB,Eastern Africa,ET,"ET,GB,LR,KE,IL,MY,NA,ID,TW,NL"
river,Europe,DE,Northern Europe,EE,"EE,DE,IL,GE,CH,GB,AZ,DK,UZ,TW"
savannah,Africa,KE,Western Africa,LR,"LR,KE,IE,AZ,IL,NA,GB,KH,MY,BN"
flynn,Europe,TW,Northern Europe,GB,"GB,TW,IE,KE,BE,NL,NA,DE,MY,MM"
bella,Europe,IL,Eastern Europe,HU,"HU,IL,IE,GB,NA,AZ,SE,KE,IT,CM"
felix,Europe,CH,Western Europe,DE,"DE,CH,KE,CM,FR,AT,IL,TZ,NA,MG"
phoebe,Africa,VN,Eastern Africa,KE,"KE,VN,IE,BW,GB,ZA,KH,TW,NA,NL"
christian,Europe,DE,Western Europe,AT,"AT,DE,DK,CH,SE,FR,GB,NO,BE,CM"
ariana,Asia,RU,Western Asia,GE,"GE,RU,ID,IL,UA,AM,RO,MD,IT,CY"
leonardo,Europe,HR,Southern Europe,IT,"IT,HR,GE,NL,NA,IL,ZA,DE,CM,CH"
summer,Asia,PK,Western Asia,TR,"TR,PK,SA,AZ,IL,PS,JO,GE,AE,TW"
billy,Africa,GB,Eastern Africa,KE,"KE,GB,IL,IE,NA,CM,BG,ID,NL,TW"
aaliyah,Asia,BN,South-Eastern Asia,MY,"MY,BN,SA,LR,ID,AE,PK,AF,IL,ZA"
zachary,Africa,TZ,Eastern Africa,KE,"KE,TZ,IL,MG,GB,ZA,BN,MY,BF,CY"
sadie,Europe,IE,Northern Europe,GB,"GB,IE,ZA,BF,IL,CI,LR,CM,NA,FR"
asher,Asia,PK,Western Asia,IL,"IL,PK,UZ,AF,KZ,BD,GE,ET,SA,SY"
rose,Africa,IE,Eastern Africa,KE,"KE,IE,CM,GB,LR,NL,FR,TZ,IL,CH"
elias,Asia,ET,Western Asia,LB,"LB,ET,CY,NA,SE,IL,TZ,KE,CH,AT"
maeve,Europe,FR,Northern Europe,IE,"IE,FR,EE,GB,CM,MG,CH,BE,NL,ZA"
lennox,Africa,NL,Southern Africa,NA,"NA,NL,ZA,KE,SE,IL,BW,DK,GB,UZ"
claire,Europe,CM,Western Europe,FR,"FR,CM,GB,CH,IE,BE,BF,NL,CI,MG"
bodhi,Asia,IN,Southern Asia,LK,"LK,IN,ID,SA,UZ,GE,NA,BD,CI,ZA"
imogen,Europe,NA,Northern Europe,GB,"GB,NA,NL,UZ,TM,GE,DK,IL,DE,EE"
nicholas,Asia,KE,Western Asia,CY,"CY,KE,GB,IE,DK,CH,SE,BE,FR,LB"
zoey,Africa,TW,Southern Africa,ZA,"ZA,TW,GB,MY,NL,IL,UZ,BN,NA,RU"
angus,Europe,NA,Northern Europe,GB,"GB,NA,EE,IE,ID,NL,LV,ET,BN,SE"
leah,Asia,KE,Western Asia,IL,"IL,KE,TZ,GB,MY,IE,LR,NA,BW,ZA"
jude,Africa,KE,Middle Africa,CM,"CM,KE,FR,IE,CF,GB,MG,CI,BF,CH"
jasmine,Europe,CH,Western Europe,NL,"NL,CH,GB,CM,BE,FR,NA,KE,LB,AM"
roman,Europe,RU,Eastern Europe,UA,"UA,RU,CZ,GE,AZ,IL,SK,MD,AT,UZ"
elizabeth,Africa,IE,Eastern Africa,TZ,"TZ,IE,KE,NA,GB,LR,AT,IL,CH,NO"
vincent,Europe,KE,Western Europe,FR,"FR,KE,BE,NL,CM,SK,IE,CH,TD,CF"
anna,Europe,PL,Eastern Europe,SK,"SK,PL,SE,UA,AM,MD,RU,FI,CZ,IL"
matthew,Europe,IE,Northern Europe,GB,"GB,IE,LR,NA,KE,MY,ET,NL,ZA,PL"
eden,Africa,IL,Eastern Africa,ET,"ET,IL,IE,ID,KE,TR,TW,NA,GE,GB"
ezra,Asia,KE,Western Asia,IL,"IL,KE,TZ,ET,MY,NL,MG,ID,BN,UZ"
ari,Asia,GE,South-Eastern Asia,ID,"ID,GE,IL,FI,BN,AZ,MY,AM,NO,EE"
pippa,Europe,IT,Northern Europe,GB,"GB,IT,FI,SE,ZA,IN,NA,NL,TM,IL"
charles,Africa,FR,Eastern Africa,KE,"KE,FR,IE,GB,CM,CY,BE,LB,CH,NA"
nora,Asia,MY,Western Asia,GE,"GE,MY,IE,HU,AM,IL,BN,BG,UZ,KH"
luke,Europe,NL,Northern Europe,GB,"GB,NL,IE,NA,ZA,KE,TW,CZ,FJ,DE"
valentina,Europe,MD,Eastern Europe,RU,"RU,MD,UA,BG,GE,SK,RO,LT,HR,CZ"
spencer,Europe,TW,Northern Europe,GB,"GB,TW,KE,SI,UZ,ZA,LR,IL,NA,TR"
gabriella,Europe,HU,Southern Europe,IT,"IT,HU,RO,BG,AT,SK,CH,IL,CY,HR"
ashton,Europe,UZ,Northern Europe,GB,"GB,UZ,ZA,IL,NA,TZ,AM,KE,NL,TJ"
zayn,Asia,AZ,Central Asia,UZ,"UZ,AZ,TJ,KZ,AF,BD,BN,JO,MY,TM"
quinn,Asia,TW,South-Eastern Asia,VN,"VN,TW,NL,NA,ZA,KE,BE,GB,LR,AZ"
koa,Africa,BF,Western Africa,CI,"CI,BF,KH,UZ,FJ,NE,MY,JP,IL,LR"
hallie,Asia,NO,Western Asia,IL,"IL,NO,LR,GB,IE,NA,LB,NL,DK,BF"
owen,Europe,TW,Northern Europe,IE,"IE,TW,GB,KE,NA,ZA,NL,BW,TM,SE"
delilah,Asia,ID,South-Eastern Asia,BN,"BN,ID,MY,IE,ZA,KE,LR,AF,NA,TZ"
jaxon,Asia,KE,Central Asia,UZ,"UZ,KE,TW,LR,GB,TJ,NA,KR,KG,NL"
sarah,Asia,LR,Western Asia,SA,"SA,LR,IE,MY,KE,GB,AE,BN,EG,LB"
maxwell,Africa,GB,Eastern Africa,KE,"KE,GB,LR,ZA,NA,IE,IL,CM,SE,UZ"
lyla,Asia,KH,Western Asia,IL,"IL,KH,UA,BG,AZ,ZA,UZ,NA,RU,GB"
isaiah,Africa,LR,Eastern Africa,KE,"KE,LR,IL,NA,IE,GB,MY,ID,TZ,BN"
eliza,Asia,IL,Western Asia,GE,"GE,IL,IE,TZ,AZ,NA,BG,GB,RU,CY"
anthony,Africa,GB,Eastern Africa,KE,"KE,GB,LR,IE,FR,LB,MG,ID,RU,CY"
adeline,Europe,CM,Western Europe,FR,"FR,CM,LB,CH,BF,CI,BE,TD,IE,GB"
tyler,Europe,UZ,Northern Europe,GB,"GB,UZ,ZA,TW,AZ,NL,IL,TM,TJ,KG"
molly,Europe,GB,Northern Europe,IE,"IE,GB,IL,KE,BW,ZA,KH,NA,EG,LR"
connor,Europe,GB,Northern Europe,IE,"IE,GB,SE,NL,MY,MD,DK,NA,IL,ZA"
harlow,Asia,BN,South-Eastern Asia,MY,"MY,BN,GB,TW,LR,NA,ZA,NL,ET,KE"
annabelle,Europe,DK,Western Europe,FR,"FR,DK,CH,NL,SE,CM,BE,GB,EE,ZA"
marcus,Europe,DE,Northern Europe,SE,"SE,DE,NL,AT,CH,LR,DK,EE,IE,BE"
clara,Europe,SE,Northern Europe,GB,"GB,SE,IE,CH,IT,RO,MD,IL,AT,FR"
jake,Europe,NL,Northern Europe,GB,"GB,NL,KR,SE,NA,DK,ZA,IE,IL,TW"
axel,Europe,SE,Western Europe,DE,"DE,SE,FR,DK,BE,IS,CH,NO,CM,NL"
maddison,Europe,LR,Northern Europe,GB,"GB,LR,KE,FR,NL,IE,NA,ZA,UZ,MG"
caleb,Africa,LB,Eastern Africa,KE,"KE,LB,GB,IL,TD,NA,AZ,ZA,NL,CM"
ryder,Asia,UZ,Western Asia,IQ,"IQ,UZ,AZ,NL,KG,TW,IL,GB,DK,TN"
dylan,Europe,IE,Western Europe,NL,"NL,IE,FR,GB,KZ,TW,CM,MY,AZ,BG"
dominic,Europe,KE,Western Europe,CH,"CH,KE,BE,GB,FR,IE,CM,HR,DE,NL"
isabel,Europe,CH,Northern Europe,GB,"GB,CH,BE,IE,FR,KE,SE,IL,CM,AT"
chelsea,Asia,KH,Eastern Asia,TW,"TW,KH,GB,NA,KE,MY,NL,ZA,IL,RO"
maryam,Asia,AE,Southern Asia,IR,"IR,AE,AZ,AF,SY,SA,OM,PK,MA,EG"
alyssa,Europe,IL,Eastern Europe,RU,"RU,IL,GB,NL,AE,MY,UA,BF,LB,FR"
victoria,Europe,UA,Eastern Europe,MD,"MD,UA,RU,BG,IL,LR,RO,NA,KE,TZ"
aaron,Asia,LR,Western Asia,IL,"IL,LR,GB,NL,KE,EE,IE,TW,MY,NA"
indiana,Asia,ID,Western Asia,GE,"GE,ID,KZ,LK,RU,BG,NA,MD,UZ,AZ"
rosie,Europe,IE,Northern Europe,GB,"GB,IE,CM,NA,NL,ZA,IL,FR,MG,CH"
reuben,Africa,IL,Eastern Africa,KE,"KE,IL,GB,TZ,NL,LR,NA,BG,IE,DK"
toby,Europe,NL,Northern Europe,GB,"GB,NL,MG,IL,NA,TW,CH,ID,ZA,SE"
alexis,Europe,CY,Western Europe,FR,"FR,CY,RU,CM,CH,BE,GB,BY,TD,CF"
hamish,Asia,PK,Southern Asia,AF,"AF,PK,BN,GB,AM,IR,AZ,IQ,IN,AE"
nathaniel,Africa,CH,Western Africa,LR,"LR,CH,FR,IL,CM,NA,KE,BE,GE,GB"
john,Africa,IE,Eastern Africa,KE,"KE,IE,GB,DK,LR,NL,SE,NO,NA,TZ"
peyton,Europe,TW,Eastern Europe,BG,"BG,TW,NA,KE,NL,GB,KH,SK,LR,IL"
madeline,Europe,CM,Western Europe,FR,"FR,CM,CH,NL,IE,DK,SE,BF,BE,GB"
heidi,Europe,CH,Northern Europe,FI,"FI,CH,NO,EE,DK,DE,BE,AT,NL,IS"
darcy,Europe,LR,Northern Europe,GB,"GB,LR,KE,IE,TW,NA,KH,IL,ZA,ID"
thea,Asia,NL,South-Eastern Asia,KH,"KH,NL,CY,NO,ZA,DE,NA,DK,CH,IE"
phoenix,Africa,KH,Eastern Africa,KE,"KE,KH,VN,TW,CM,NA,IE,NL,GB,MM"
nathan,Europe,GB,Western Europe,BE,"BE,GB,NL,IL,FR,LK,AZ,KH,CH,KZ"
madeleine,Europe,CM,Western Europe,FR,"FR,CM,CH,BF,SE,NL,TD,DK,BE,IE"
nate,Asia,NL,Western Asia,GE,"GE,NL,NA,BF,CI,CH,ZA,IL,AT,GB"
madison,Africa,GB,Western Africa,LR,"LR,GB,GE,KE,UZ,FR,TZ,ZA,MG,NA"
hayley,Europe,ET,Northern Europe,GB,"GB,ET,IL,ZA,IE,NL,KH,NA,NE,MY"
david,Europe,GB,Eastern Europe,CZ,"CZ,GB,KE,AM,IE,GE,CH,BE,SE,CM"
kiara,Asia,BG,Western Asia,GE,"GE,BG,NE,KH,IE,BF,KE,AZ,MY,NL"
lillian,Europe,KE,Eastern Europe,BG,"BG,KE,GB,IE,RO,DK,IL,NO,TW,MD"
lilly,Africa,GB,Eastern Africa,KE,"KE,GB,IL,IE,NA,NL,DK,ZA,TW,CH"
zahra,Asia,AZ,Southern Asia,IR,"IR,AZ,AF,MA,AE,OM,PK,BH,SA,IQ"
jessica,Europe,NL,Northern Europe,SE,"SE,NL,GB,RS,RS,NA,KE,LR,CH,IE"
harley,Europe,NL,Northern Europe,GB,"GB,NL,LR,IL,KE,TW,NA,MY,ID,IE"
nixon,Africa,UZ,Eastern Africa,KE,"KE,UZ,LR,NA,GB,TZ,ID,IE,TJ,IL"
mariam,Asia,GE,Western Asia,AE,"AE,GE,LB,EG,SK,AM,MR,IL,NL,MA"
aisha,Asia,KZ,Western Asia,AE,"AE,KZ,PK,GE,OM,QA,MY,TZ,AZ,BN"
chase,Asia,CM,Eastern Asia,TW,"TW,CM,DK,GB,ZA,FR,KR,BW,KH,SE"
blake,Europe,CI,Northern Europe,GB,"GB,CI,MK,ZA,ET,NA,LR,IE,BF,NL"
andrew,Europe,UA,Northern Europe,GB,"GB,UA,IE,KE,RU,PL,CY,NA,LR,BY"
paige,Europe,CM,Northern Europe,GB,"GB,CM,TW,IE,GE,NA,EE,BF,FR,LK"
hayden,Asia,GB,Western Asia,TR,"TR,GB,IQ,TW,KH,AM,ET,NL,BG,IL"
jonathan,Europe,GB,Northern Europe,SE,"SE,GB,BE,FR,KE,NL,CH,LR,DK,DE"
josephine,Africa,FR,Eastern Africa,KE,"KE,FR,CM,IE,LR,BE,NL,GB,NA,DE"
eve,Europe,BE,Northern Europe,EE,"EE,BE,KE,NL,GB,IE,CM,FR,IL,NO"
amelie,Europe,CM,Western Europe,FR,"FR,CM,CI,LB,BE,SE,BF,IL,LR,GB"
braxton,Europe,KE,Northern Europe,GB,"GB,KE,NL,IL,IS,ZA,NA,CM,BG,SK"
alexandra,Europe,MD,Eastern Europe,RU,"RU,MD,UA,RO,BY,RS,RS,BG,UZ,CZ"
holly,Europe,IE,Northern Europe,GB,"GB,IE,MG,NA,TW,KH,IL,VN,DE,TZ"
elise,Europe,CM,Western Europe,FR,"FR,CM,NO,CH,BE,DK,NL,SE,NA,LB"
lexi,Asia,TW,Western Asia,IL,"IL,TW,GE,VN,NL,AZ,GB,FJ,RU,UA"
bailey,Europe,LR,Northern Europe,GB,"GB,LR,NE,IL,ZA,NL,TW,BW,NA,CI"
jesse,Europe,DK,Western Europe,NL,"NL,DK,GB,SE,FR,KE,FI,CM,LR,BE"
natalie,Europe,IL,Eastern Europe,MD,"MD,IL,BE,FR,NL,GB,NA,CM,CH,ZA"
christopher,Europe,AT,Northern Europe,GB,"GB,AT,IE,DE,KE,DK,CH,SE,FR,BE"
jade,Europe,FR,Northern Europe,GB,"GB,FR,NL,ZA,NA,LB,TW,BE,IE,RS"
caitlin,Europe,GB,Northern Europe,IE,"IE,GB,RO,TW,SE,NL,ZA,BG,EE,NA"
mikayla,Asia,IL,Western Asia,AZ,"AZ,IL,BG,SE,FI,ZA,LB,NL,UA,NA"
samantha,Asia,KH,Southern Asia,LK,"LK,KH,GB,NA,ZA,LR,IN,TZ,NL,IL"
mitchell,Europe,NL,Northern Europe,GB,"GB,NL,LR,IL,ZA,NA,KE,SE,CM,BG"
alex,Europe,UA,Eastern Europe,RU,"RU,UA,RO,CH,NL,KE,GB,LR,BY,MD"
skye,Asia,TW,South-Eastern Asia,MM,"MM,TW,ZA,KR,MY,NA,BN,GB,CF,VN"
jett,Europe,NL,Northern Europe,DK,"DK,NL,EE,DE,HU,GB,TW,IL,IE,SE"
tahlia,Asia,GE,Western Asia,IL,"IL,GE,ID,RU,AZ,MG,EG,MD,TN,NA"
cameron,Europe,IL,Northern Europe,GB,"GB,IL,RO,NL,IE,ZA,NA,CM,FR,TW"
kayla,Asia,GB,Western Asia,AZ,"AZ,GB,BG,ZA,NA,IL,NL,UZ,TR,MY"
aidan,Asia,AZ,Central Asia,KZ,"KZ,AZ,KG,IE,GE,MY,TZ,AM,RO,NE"
amy,Europe,IL,Northern Europe,GB,"GB,IL,MY,NL,BN,EG,IE,TW,ID,VN"
zac,Asia,AZ,Western Asia,IL,"IL,AZ,KE,MY,ZA,BN,BF,CM,LR,TW"
angelina,Europe,RU,Eastern Europe,MD,"MD,RU,BG,UA,RO,GE,SK,CY,IT,PL"
lauren,Europe,IE,Northern Europe,GB,"GB,IE,AM,BE,DK,NL,KZ,FR,IL,EE"
milla,Europe,AZ,Northern Europe,FI,"FI,AZ,KE,IL,SE,BG,DK,HU,IT,NA"
callum,Europe,IE,Northern Europe,GB,"GB,IE,AZ,CM,KE,SE,IL,TZ,ZA,LK"
annabel,Europe,GB,Northern Europe,IE,"IE,GB,SE,CH,NL,KE,IL,FR,BE,EE"
erin,Europe,EE,Northern Europe,SE,"SE,EE,CH,NL,ID,TR,IL,CM,TW,DE"
charli,Asia,ID,Western Asia,IL,"IL,ID,LK,ZA,CH,TW,DK,NA,CY,LB"
ashley,Europe,ZA,Northern Europe,GB,"GB,ZA,NA,NL,IL,MY,KE,IE,ET,BN"
alana,Asia,RU,Western Asia,GE,"GE,RU,MD,RS,RS,SK,HR,AZ,UA,IL"
koby,Africa,NL,Western Africa,CI,"CI,NL,IL,KH,UZ,NA,TW,ZA,LR,BN"
amber,Asia,NL,Western Asia,GE,"GE,NL,PK,GB,IL,ET,LR,BE,AZ,AE"
abbey,Asia,GB,Central Asia,UZ,"UZ,GB,IE,NE,AZ,IL,ET,CI,ZA,TD"
stephanie,Europe,BE,Northern Europe,GB,"GB,BE,FR,CM,CH,NL,DE,IE,AT,ZA"
gemma,Europe,IE,Northern Europe,GB,"GB,IE,NL,ET,AM,IT,TZ,IL,GE,NA"
declan,Europe,GB,Northern Europe,IE,"IE,GB,BG,RS,RS,UZ,IL,RO,TM,ID"
claudia,Europe,RO,Western Europe,AT,"AT,RO,CH,MD,DE,IT,DK,NA,FR,NL"
taylor,Europe,LR,Northern Europe,GB,"GB,LR,IL,UZ,MY,KH,UA,TW,GE,RU"
justin,Europe,CM,Western Europe,FR,"FR,CM,KE,DE,SK,NL,GB,NA,MG,LR"
cody,Europe,IE,Western Europe,NL,"NL,IE,TW,GB,KH,NA,ZA,VN,IL,RO"
sam,Asia,LB,South-Eastern Asia,KH,"KH,LB,AZ,EG,SA,SY,IQ,IL,JO,PS"
abby,Africa,GB,Southern Africa,NA,"NA,GB,BN,IE,IL,ID,TW,MY,KE,ZA"
tyson,Africa,GB,Southern Africa,NA,"NA,GB,KE,TW,ZA,TZ,KH,VN,LR,UZ"
joel,Europe,CM,Western Europe,FR,"FR,CM,KE,CH,SE,NL,BE,MG,NA,GB"
keira,Europe,JP,Northern Europe,GB,"GB,JP,IL,EE,GE,IE,FI,MY,AZ,NE"
seth,Asia,KE,South-Eastern Asia,KH,"KH,KE,NA,IN,TZ,LK,BW,ZA,GB,LR"
talia,Asia,GE,Western Asia,IL,"IL,GE,NA,MD,RU,UA,AZ,LB,ID,NE"
laura,Europe,GE,Eastern Europe,RO,"RO,GE,FI,LT,IT,EE,HR,NL,GB,KZ"
gabrielle,Europe,CM,Western Europe,FR,"FR,CM,CH,BE,NL,LB,IT,BF,GB,MG"
katie,Europe,GB,Northern Europe,IE,"IE,GB,BE,CI,NL,NA,EE,BW,CZ,IL"
rhys,Europe,ZA,Northern Europe,GB,"GB,ZA,NA,KE,IE,NL,TJ,QA,TM,UZ"
alicia,Europe,RO,Eastern Europe,SK,"SK,RO,MD,IE,CH,LR,IT,GB,IL,NA"
brock,Europe,KE,Western Europe,NL,"NL,KE,CM,GB,CI,IE,IL,NA,TZ,ZA"
bianca,Europe,NL,Eastern Europe,RO,"RO,NL,AT,DE,IT,BG,NA,DK,CH,SI"
tristan,Asia,VN,Western Asia,GE,"GE,VN,ID,NL,EE,GB,BG,FR,IE,TW"
natasha,Europe,GE,Eastern Europe,UA,"UA,GE,LK,IL,AZ,NA,RU,RS,RS,IN"
brooke,Europe,NL,Northern Europe,GB,"GB,NL,IL,ET,DK,BE,ZA,CI,IE,NA"
kate,Europe,GB,Northern Europe,IE,"IE,GB,DK,HR,UA,CZ,NO,BE,DE,HU"
brianna,Europe,DK,Northern Europe,IE,"IE,DK,GB,SK,IL,SE,NA,CH,NL,HU"
jai,Asia,KR,Southern Asia,IN,"IN,KR,TW,BN,MY,IL,FJ,NA,KG,AF"
taj,Asia,PK,Southern Asia,AF,"AF,PK,BD,AZ,BN,IN,AE,GE,RU,UZ"
brodie,Europe,IE,Northern Europe,GB,"GB,IE,CM,FR,CI,ZA,IL,NL,BE,DK"
rebecca,Africa,IE,Western Africa,LR,"LR,IE,GB,SE,CH,KE,NL,NA,TZ,DE"
jeremy,Europe,GB,Western Europe,FR,"FR,GB,NL,KE,BE,CH,NA,IE,LR,TW"
zane,Africa,LV,Southern Africa,ZA,"ZA,LV,NE,BF,GE,CI,NA,LB,IL,CM"
mary,Europe,KE,Northern Europe,IE,"IE,KE,GB,LR,TZ,IL,NL,MG,NA,AM"
